Title;Genre ID;Publisher;Stadia release date;Original release date
A Place for the Unwilling;2;ALPixel Games;2021.02.23;2019.07.25
Adam Wolfe;2;Mad Head Games;2022.03.01;2016.10.07
Adventure Time: Pirates of the Enchiridion;2;Outright Games;2022.03.25;2018.07.17
Ark: Survival Evolved;2;Studio Wildcard;2021.09.01;2015.06.02
Ary and the Secret of Seasons;2;Modus Games, Maximum Games;2020.11.05;2020.09.01
Assassin's Creed III Remastered;1;Ubisoft;2021.12.14;2012.10.30
Assassin's Creed IV: Black Flag;1;Ubisoft;2021.09.14;2013.10.29
Assassin's Creed Odyssey;1;Ubisoft;2019.11.19;2018.10.05
Assassin's Creed Origins;1;Ubisoft;2020.12.15;2017.10.27
Assassin's Creed Rogue;1;Ubisoft;2021.10.05;2014.11.11
Assassin's Creed Syndicate;1;Ubisoft;2020.12.15;2015.10.23
Assassin's Creed Unity;1;Ubisoft;2020.12.15;2014.11.11
Assassin's Creed Valhalla;1;Ubisoft;2020.11.10;2020.11.10
Attack on Titan 2: Final Battle;9;Koei Tecmo;2019.11.19;2018.03.15
AVICII Invector;12;Hello There;2021.03.01;2019.12.10
Ben 10: Power Trip;2;Outright Games;2021.10.15;2020.10.07
Blaze and the Monster Machines: Axle City Racers;16;Outright Games;2021.12.01;2021.10.01
Bloodstained: Ritual of the Night;1;505 Games;2021.07.06;2019.06.18
Blue Fire;2;Graffiti Games;2021.06.01;2021.02.04
Borderlands 3;19;2K Games;2019.12.17;2019.09.13
Cake Bash;13;Coatsink;2020.10.15;2020.10.15
Celeste;14;Extremely OK Games;2020.07.28;2018.01.25
Chicken Police - Paint it RED!;2;HandyGames;2021.12.06;2020.11.05
Child of Light;14;Ubisoft;2021.10.19;2014.04.30
Chorus;21;Deep Silver;2021.12.03;2021.12.03
Chronos: Before the Ashes;1;THQ Nordic;2020.12.01;2020.12.01
Cities: Skylines;7;Paradox Interactive;2022.05.17;2015.03.10
City Legends: The Curse of the Crimson Shadow;2;Legacy Games;2022.04.01;2021.09.21
Control;2;505 Games;2021.07.27;2019.08.27
Cosmic Star Heroine;18;Zeboyd Games;2021.04.01;2017.04.11
Cris Tales;18;Modus Games;2021.07.20;2021.07.20
Cthulhu Saves Christmas;18;Zeboyd Games;2020.12.22;2019.12.23
Cyberpunk 2077;1;CD Projekt;2020.12.10;2020.12.10
Darksiders Genesis;1;THQ Nordic;2019.12.05;2019.12.05
Darksiders II;1;THQ Nordic;2021.09.01;2015.10.27
Darksiders III;1;THQ Nordic;2021.09.14;2018.11.27
Darkwood;24;Acid Wizard Studio;2021.09.07;2017.08.17
Dawn of the Monsters;8;WayForward;2022.03.01;2022.03.01
Dead by Daylight;24;Behaviour Interactive;2020.10.01;2016.06.14
DEATHRUN TV;19;Merge Games;2022.06.01;2021.06.13
Deliver Us the Moon;14;Wired Productions;2022.06.01;2018.09.28
Destiny 2;19;Bungie;2019.11.19;2017.09.06
Destroy All Humans!;2;THQ Nordic;2020.12.08;2020.07.28
Dirt 5;16;Codemasters;2021.03.24;2020.11.06
Disco Elysium: The Final Cut;2;Iam8bit;2021.03.30;2019.10.15
Doom;19;Bethesda Softworks;2020.08.18;2016.05.13
Doom 64;19;Bethesda Softworks;2020.05.12;1997.04.04
Doom Eternal;19;Bethesda Softworks;2020.03.20;2020.03.20
Dragon Ball Xenoverse 2;8;Bandai Namco Entertainment;2019.12.17;2016.10.25
Dragon Ball Z: Kakarot;1;Bandai Namco Entertainment;2021.10.26;2020.01.17
Dragon Quest XI;18;Square Enix;2021.03.16;2017.07.29
DreamWorks Dragons Dawn of the New Riders;2;Outright Games;2021.08.13;2019.02.01
DreamWorks Spirit Lucky?s Big Adventure;2;Outright Games;2021.10.01;2021.06.01
Dynasty Warriors 9: Empires;23;Koei Tecmo Games;2022.02.15;2021.12.23
El Hijo - A Wild West Tale;15;HandyGames;2020.12.03;2020.12.03
Elemental War 2;25;Clockwork Origins;2022.05.06;2021.12.09
Embr;1;Curve Digital;2020.05.21;2020.01.01
Enter the Gungeon;1;Dodge Roll;2020.12.22;2016.04.05
Epistory ? Typing Chronicles;2;Fishing Cactus;2021.02.02;2016.03.30
Everspace;21;Rockfish Games;2020.12.01;2017.05.25
F1 2020;16;Codemasters;2020.07.07;2020.07.07
Family Feud;13;Ubisoft;2020.11.12;2020.11.12
Far Cry 3: Blood Dragon;19;Ubisoft;2022.07.07;2013.04.30
Far Cry 5;19;Ubisoft;2020.11.03;2018.03.27
Far Cry 6;19;Ubisoft;2021.10.07;2021.10.07
Far Cry New Dawn;19;Ubisoft;2020.11.03;2019.02.15
Far Cry Primal;19;Ubisoft;2022.05.17;2016.02.23
Farming Simulator 19;20;Focus Home Interactive;2019.11.19;2018.11.20
Farming Simulator 22;20;Giants Software;2021.11.21;2021.11.21
Fast and Furious: Spy Racers Rise of SH1FT3R;16;Outright Games;2022.01.25;2021.11.05
FIFA 21;22;Electronic Arts;2021.03.17;2020.10.09
FIFA 22;22;Electronic Arts;2021.10.01;2021.10.01
Figment;2;Bedtime Digital Games;2020.12.08;2017.09.22
Final Fantasy XV;1;Square Enix;2019.11.19;2016.11.29
Five Nights at Freddy's: Security Breach;24;ScottGames;2022.07.01;2021.12.16
Floor Kids;17;MERJ Media;2021.04.14;2017.12.07
Football Manager 2020;20;Sega;2019.11.19;2019.11.18
Foreclosed;2;Merge Games;2021.08.12;2021.08.12
Get Packed;13;Coatsink;2020.04.28;2020.04.28
Gigantosaurus: The Game;2;Outright Games;2021.08.13;2020.03.27
Gods Will Fall;2;Deep Silver;2021.01.29;2021.01.29
Golf with Your Friends;22;Team17;2022.04.14;2020.05.19
Grid;16;Codemasters;2019.11.19;2019.10.11
Grime;2;Akupara Games;2021.08.02;2020.12.15
Gunsport;22;Necrosoft Games;2020.09.01;2020.09.01
Gylt;2;Tequila Works;2019.11.19;2019.11.19
Heist Simulator;20;Outright Games;2021.10.29;2021.10.19
Hello Neighbor;24;tinyBuild;2020.09.01;2017.12.08
Hello Neighbor: Hide & Seek;24;tinyBuild;2020.11.01;2018.12.07
Hellpoint;1;tinyBuild;2021.02.25;2020.07.30
Hitman;24;IO Interactive;2020.09.01;2016.10.31
Hitman 2;24;IO Interactive;2020.09.01;2018.11.13
Hitman 3;24;IO Interactive;2021.01.20;2021.01.20
Hotline Miami;19;Devolver Digital;2020.09.22;2013.06.25
Hotline Miami 2: Wrong Number;19;Devolver Digital;2020.09.22;2015.03.10
House of the Dead: Remake;19;Forever Entertainment;2022.04.28;2022.04.07
Human: Fall Flat;15;Curve Digital;2020.10.01;2016.07.22
Hundred Days - Winemaking Simulator;20;Broken Arms Games;2021.05.13;2021.05.13
Hunting Simulator 2;20;Nacon;2021.11.30;2017.06.16
Ice Age: Scrat?s Nutty Adventure;2;Outright Games;2021.08.13;2019.10.16
Immortals: Fenyx Rising;2;Ubisoft;2020.12.03;2020.12.03
Into the Breach;23;Subset Games;2020.12.01;2018.02.27
It came from space and ate our brains;19;Triangle Studios;2021.03.02;2013.10.31
Jotun: Valhalla Edition;2;Thunder Lotus Games;2020.05.26;2015.09.29
Journey to the Savage Planet;2;505 Games;2021.02.01;2020.01.29
Judgment;2;Sega;2021.04.23;2018.12.13
Just Dance 2020;17;Ubisoft;2019.11.19;2019.11.05
Just Dance 2021;17;Ubisoft;2020.11.12;2020.11.12
Just Dance 2022;17;Ubisoft;2021.11.04;2021.11.04
Just Shapes & Beats;19;Berzerk Studio;2020.06.30;2018.05.31
Katamari Damacy Reroll;15;Namco;2021.09.07;2004.09.21
Kaze and the Wild Masks;14;SOEDESCO;2021.03.25;2021.03.25
Kemono Heroes;2;NIS America;2021.04.01;2020.02.27
Killer Queen Black;14;Liquid Bit, LLC;2021.03.30;2019.10.11
Kine;15;Gwen Frey;2019.11.19;2019.10.17
Kona;2;Koch Media;2020.08.01;2017.03.17
Lake;2;Whitehorn Games;2022.06.01;2021.09.01
Lara Croft and the Guardian of Light;2;Square Enix;2020.12.22;2010.08.18
Lara Croft and the Temple of Osiris;2;Square Enix;2020.07.15;2014.12.09
Legend of Heroes: Trails of Cold Steel III;18;NIS America;2021.04.01;2017.09.28
Legend of Heroes: Trails of Cold Steel IV;18;NIS America;2021.04.09;2018.09.27
Legend of Keepers: Career of a Dungeon Manager;25;Goblinz Publishing;2021.04.29;2021.04.29
Life Is Strange Remastered;2;Square Enix;2022.02.01;2022.02.01
Life Is Strange: Before the Storm Remastered;2;Square Enix;2022.02.01;2022.02.01
Life Is Strange: True Colors;2;Square Enix;2021.09.09;2021.09.09
Little Big Workshop;20;HandyGames;2020.11.05;2019.10.17
Little Nightmares;15;Bandai Namco Entertainment;2020.06.01;2017.04.28
Little Nightmares II;15;Bandai Namco Entertainment;2021.02.10;2021.02.10
Lost Words: Beyond the Page;14;Modus Games;2020.03.27;2020.03.27
Lumote: The Mastermote Chronicles;14;Wired Productions;2022.05.01;2020.03.24
Mad Streets;13;Craftshop Arts Inc;2022.03.15;2020.06.16
Madden NFL 21;22;Electronic Arts;2021.01.28;2020.08.28
Madden NFL 22;22;Electronic Arts;2021.08.20;2021.08.20
Mafia III Remastered;2;2K Games;2021.10.01;2016.10.07
Marvel's Avengers;2;Square Enix;2020.09.01;2020.09.01
Merek's Market;20;Big Village Games;2021.09.14;2021.09.14
Metro 2033 Redux;19;Deep Silver;2020.06.23;2014.08.26
Metro Exodus;19;Deep Silver;2019.11.19;2019.02.15
Metro: Last Light Redux;19;Deep Silver;2020.06.23;2014.08.26
Monopoly;5;Ubisoft;2020.04.28;2014.11.25
Monopoly Madness;13;Ubisoft;2021.12.09;2021.12.09
Monster Boy and the Cursed Kingdom;14;FDG Entertainment;2020.07.01;2018.12.04
Monster Energy Supercross: The Official Videogame 3;16;Milestone srl;2020.02.04;2020.02.04
Monster Energy Supercross: The Official Videogame 4;16;Milestone srl;2021.03.11;2021.03.11
Monster Jam Steel Titans;16;THQ Nordic;2020.12.01;2019.06.25
Monster Jam Steel Titans 2;16;THQ Nordic;2021.03.02;2021.03.02
Moonlighter;1;11 Bit Studios;2021.07.01;2018.05.29
Mortal Kombat 11;8;Warner Bros. Interactive Entertainment;2019.11.19;2019.04.23
MotoGP 20;16;Milestone srl;2020.04.23;2020.04.23
MotoGP 21;16;Milestone srl;2022.02.01;2021.04.22
Murder by Numbers;15;The Irregular Corporation;2021.03.23;2020.03.05
My Friend Peppa Pig;2;Outright Games;2021.10.22;2021.10.22
My Hero: One's Justice 2;8;Bandai Namco;2022.02.15;2020.03.12
Nanotale - Typing Chronicles;2;Fishing Cactus;2021.03.31;2021.03.31
NBA 2K20;22;2K Sports;2019.11.19;2019.09.06
NBA 2K21;22;2K Sports;2020.09.04;2020.09.04
Nine to Five;19;Redhill Games;2021.12.08;2021.08.26
Octopath Traveler;18;Square Enix;2020.04.28;2018.07.13
OddBallers;13;Game Swing;2022.03.24;2022.03.24
Olympic Games Tokyo 2020 - The Official Video Game;22;Sega;2021.06.22;2019.07.24
One Hand Clapping;2;HandyGames;2021.12.14;2021.12.14
One Piece World Seeker;1;Bandai Namco;2021.07.20;2019.03.15
Orcs Must Die! 3;19;Stadia Games and Entertainment;2020.07.14;2020.07.14
Outcasters;19;Stadia Games and Entertainment;2020.12.03;2020.12.03
Outriders;19;Square Enix;2021.04.01;2021.04.01
Outward;1;Koch Media;2020.11.30;2019.03.26
Overcooked! All You Can Eat;20;Team17;2022.05.05;2020.11.12
Pac-Man Mega Tunnel Battle;4;Bandai Namco;2020.11.17;2020.11.17
Panzer Dragoon;19;Forever Entertainment;2020.06.01;2020.03.26
PAW Patrol Mighty Pups: Save Adventure Bay;2;Outright Games;2021.08.13;2020.11.06
PAW Patrol the Movie: Adventure City Calls;2;Outright Games;2021.08.13;2021.08.13
PGA Tour 2K21;22;2K Games;2020.08.21;2020.08.21
Phoenix Point;23;Snapshot Games;2021.01.26;2019.12.03
Phogs!;15;Coatsink;2020.12.03;2020.12.03
Pikuniku;15;Devolver Digital;2021.02.09;2019.01.24
PixelJunk Raiders;1;Q-Games;2021.03.01;2021.03.01
PJ Masks: Heroes of the Night;14;Outright Games;2021.10.29;2021.10.29
PlayerUnknown's Battlegrounds;4;PUBG Corporation;2020.04.28;2017.12.20
Power Rangers: Battle for the Grid;8;Lionsgate Games;2020.06.01;2019.03.26
Race with Ryan Road Trip;16;Outright Games;2022.03.01;2019.10.30
Rage 2;19;Bethesda Softworks;2019.11.19;2019.05.14
Rayman Legends;14;Ubisoft;2021.11.23;2013.09.03
Red Dead Redemption 2;2;Rockstar Games;2019.11.19;2018.10.26
Reigns;23;Devolver Digital;2020.12.22;2016.08.11
Relicta;15;Koch Media;2020.08.04;2020.08.04
R?publique;24;NIS America;2020.09.15;2016.03.22
Resident Evil 7: Biohazard;24;Capcom;2021.04.01;2017.01.24
Resident Evil Village;24;Capcom;2021.05.07;2021.05.07
Riders Republic;22;Ubisoft;2021.10.28;2021.10.28
Rise of the Tomb Raider;2;Square Enix;2019.11.19;2015.11.10
Risk of Rain 2;19;Gearbox Publishing;2020.09.29;2020.08.11
Rock of Ages III: Make And Break;25;Modus Games;2020.08.14;2020.07.21
Ryan's Rescue Squad;2;Outright Games;2022.03.08;2022.03.04
Saints Row IV: Re-Elected;2;Deep Silver;2021.11.01;2013.08.20
Saints Row: The Third Remastered;2;Koch Media;2021.03.05;2020.05.22
Samurai Shodown;8;Athlon Games;2019.11.19;2019.06.25
Secret Neighbor;24;tinyBuild;2020.12.01;2019.10.24
Sekiro: Shadows Die Twice;2;Activision;2020.10.28;2019.03.22
Serious Sam 4;19;Devolver Digital;2020.09.24;2020.09.24
Serious Sam Collection;19;Devolver Digital;2020.03.03;2020.03.03
Shadow of the Tomb Raider;2;Square Enix;2019.11.19;2018.09.14
Shantae: Half-Genie Hero;14;WayForward;2021.02.23;2016.12.20
Shantae: Risky's Revenge;14;WayForward;2021.02.23;2010.10.04
Sniper Elite 4;19;Rebellion Developments;2020.11.01;2017.02.17
Spiritfarer;20;Thunder Lotus Games;2020.08.21;2020.08.18
Spitlings;3;HandyGames;2020.02.25;2020.02.25
SpongeBob SquarePants: Battle for Bikini Bottom ? Rehydrated;14;THQ Nordic;2020.12.08;2020.06.23
Stacks On Stacks (On Stacks);15;Herringbone Games;2020.04.01;2020.04.01
Star Wars Jedi: Fallen Order;2;Electronic Arts;2020.11.24;2019.11.15
SteamWorld Dig;2;Image & Form;2020.03.10;2013.08.07
SteamWorld Dig 2;2;Image & Form;2020.03.01;2017.09.21
SteamWorld Heist;23;Image & Form;2020.03.10;2015.12.10
SteamWorld Quest;18;Thunderful Publishing;2020.03.01;2019.04.25
Strange Brigade;19;Rebellion Developments;2020.08.01;2018.08.28
Street Power Football;22;Maximum Games;2021.05.11;2020.08.25
Submerged: Hidden Depths;2;Stadia Games and Entertainment;2020.12.03;2020.12.03
Sundered;10;Thunder Lotus Games;2020.05.26;2017.07.28
Super Animal Royale;4;Modus Games;2021.12.14;2021.08.26
Super Bomberman R Online;4;Konami;2020.09.01;2020.09.01
Superhot;19;Superhot Team;2020.06.01;2016.02.26
Superhot: Mind Control Delete;19;Superhot Team;2020.08.18;2020.07.16
Terraria;2;505 Games;2021.03.18;2011.05.16
The Addams Family: Mansion Mayhem;2;Outright Games;2021.10.01;2021.09.24
The Crew 2;16;Ubisoft;2020.03.25;2018.06.29
The Darkside Detective;2;Akupara Games;2021.04.08;2017.07.27
The Darkside Detective: A Fumble in the Dark;2;Akupara Games;2021.04.15;2021.04.15
The Elder Scrolls Online;11;Bethesda Softworks;2020.06.16;2014.04.04
The Falconeer;19;Wired Productions;2021.10.05;2020.11.10
The Falconeer: Warrior Edition;19;Wired Productions;2021.12.01;2021.08.05
The Gardens Between;15;The Voxel Agents;2020.11.01;2018.09.20
The Jackbox Party Pack 6;13;Jackbox Games;2021.12.21;2019.10.17
The Jackbox Party Pack 7;13;Jackbox Games;2021.12.07;2020.10.15
The Jackbox Party Pack 8;13;Jackbox Games;2021.11.16;2021.10.14
The Turing Test;15;Bulkhead Interactive;2020.05.01;2016.08.30
Thumper;17;Drool;2019.11.19;2016.10.10
TOHU;2;The Irregular Corporation;2021.01.28;2021.01.28
Tom Clancy's Ghost Recon Breakpoint;19;Ubisoft;2019.12.18;2019.10.04
Tom Clancy's Ghost Recon Wildlands;19;Ubisoft;2020.11.19;2017.03.07
Tom Clancy's Rainbow Six Extraction;19;Ubisoft;2022.01.20;2022.01.20
Tom Clancy's Rainbow Six Siege;19;Ubisoft;2021.06.30;2015.12.01
Tom Clancy's The Division 2;19;Ubisoft;2020.03.17;2019.03.15
Tomb Raider;2;Square Enix;2019.11.19;2013.03.05
Transformers: Battlegrounds;23;Outright Games;2021.12.01;2020.10.23
Trials Rising;16;Ubisoft;2019.11.19;2019.02.26
Trine 4: The Nightmare Prince;15;Modus Games;2021.03.30;2019.10.08
Trivial Pursuit Live! 2;13;Ubisoft;2022.03.17;2022.03.17
Trollhunters: Defenders of Arcadia;1;Outright Games;2022.01.25;2020.09.25
Uno;6;Ubisoft;2020.09.15;2016.08.16
Uno: 50th Anniversary;6;Ubisoft;2021.06.03;2021.06.03
Unto the End;14;Big Sugar;2020.12.09;2020.12.09
Valkyria Chronicles 4;19;Sega;2020.12.08;2018.03.21
Watch Dogs;2;Ubisoft;2020.12.09;2014.05.27
Watch Dogs 2;2;Ubisoft;2020.12.09;2016.11.15
Watch Dogs: Legion;2;Ubisoft;2020.10.29;2020.10.29
Wave Break;22;Funktronic Labs;2020.06.23;2020.06.23
Wavetale;2;Thunderful Publishing;2021.11.10;2021.11.10
Welcome to Elk;2;Triple Topping;2021.02.23;2020.09.17
West of Loathing;2;Asymmetric Productions;2020.07.01;2017.08.10
Windbound;24;Koch Media;2020.08.28;2020.08.28
Windjammers 2;22;Dotemu;2022.01.20;2022.01.20
Wolfenstein: Youngblood;19;Bethesda Softworks;2019.11.19;2019.07.26
World War Z: Aftermath;19;Saber Interactive Inc;2022.04.05;2021.09.21
Worms W.M.D;23;Team17;2022.07.01;2016.08.23
Wreckfest;16;THQ Nordic;2021.12.01;2018.06.14
WWE 2K Battlegrounds;22;2K Sports;2020.09.18;2020.09.18
Young Souls;18;The Arcade Crew;2021.08.17;2021.08.17
Ys IX: Monstrum Nox;1;NIS America;2021.07.06;2019.09.26
Ys VIII: Lacrimosa of Dana;1;NIS America;2021.04.01;2016.07.21
Zombie Army 4: Dead War;19;Rebellion Developments;2020.05.01;2020.02.04
Zorro: The Chronicles;2;BTC Studios;2022.06.16;2022.06.16